"ver","id","R1","R2","R3","chatgpt"
5,2,4,5,"2",4
5,12,5,5,"3",4
5,22,3,3,"3",3
5,32,5,3,"3",4
5,42,3,5,"4",4
5,52,3,5,"2",3
5,62,5,5,"3",4
5,72,5,3,"5",3
5,82,2,3,"2",4
5,92,5,3,"2",4
6,2,5,5,"2",4
6,12,5,3,"1",3
6,22,1,1,"1",2
6,32,2,5,"4",3
6,42,2,5,"3",3
6,52,1,5,"3",3
6,62,1,5,"3",4
6,72,1,5,"3",4
6,82,5,4,"3",5
6,92,5,4,"3",4
6,102,4,3,"3",3
6,112,5,5,"3",4
6,122,4,3,"2",3
6,132,3,3,"3",3
6,142,3,3,"3",3
6,152,1,1,"2",2
6,162,3,2,"3",3
6,172,2,4,"5",4
6,182,1,2,"3",3
6,192,1,2,"3",3
6,202,1,1,"2",2
6,212,5,3,"2",3
6,222,1,3,"2",3
6,232,1,1,"1",2
6,242,1,3,"3",3
6,252,5,4,"2",4
6,262,3,3,"1",3
6,272,2,2,"1",2
6,282,3,3,"3",3
6,292,1,1,"2",2
6,302,2,3,"3",4
6,312,4,5,"3",4
6,322,2,3,"2",2
6,332,3,4,"4",4
6,342,1,1,"2",2
6,352,1,1,"1",2
6,362,5,4,"2",3
6,372,3,2,"1",2
6,382,3,2,"2",3
