"ver","id","R1","R2","R3","chatgpt"
5,2,3,3,"1",1
5,12,3,3,"2",1
5,22,3,3,"1",1
5,32,3,3,"2",1
5,42,2,3,"1",1
5,52,2,3,"1",1
5,62,3,3,"2",2
5,72,1,1,"2",1
5,82,3,2,"2",1
5,92,3,1,"1",1
6,2,3,3,"2",1
6,12,3,1,"1",1
6,22,1,1,"1",1
6,32,1,3,"2",1
6,42,1,3,"2",1
6,52,1,3,"2",1
6,62,1,3,"2",1
6,72,1,3,"2",1
6,82,3,3,"1",1
6,92,3,3,"2",1
6,102,3,3,"2",2
6,112,3,3,"2",1
6,122,3,3,"1",1
6,132,2,3,"1",1
6,142,3,3,"1",1
6,152,1,1,"1",1
6,162,3,3,"1",1
6,172,1,3,"3",1
6,182,1,1,"2",1
6,192,1,2,"2",1
6,202,1,1,"1",1
6,212,3,3,"1",1
6,222,1,3,"1",1
6,232,1,1,"1",1
6,242,1,2,"2",1
6,252,2,3,"1",2
6,262,3,3,"1",1
6,272,2,3,"1",1
6,282,3,3,"1",1
6,292,1,1,"1",1
6,302,1,1,"2",1
6,312,1,1,"3",1
6,322,1,2,"1",1
6,332,1,3,"2",1
6,342,1,1,"1",1
6,352,1,1,"1",1
6,362,3,3,"2",1
6,372,3,3,"1",1
6,382,3,3,"1",1
