"ver","id","R1","R2","R3","chatgpt"
5,2,3,3,3,3
5,12,3,3,1,3
5,22,2,1,2,2
5,32,3,3,3,3
5,42,3,3,3,3
5,52,3,3,3,3
5,62,3,3,3,3
5,72,1,1,2,1
5,82,2,3,2,3
5,92,3,3,3,3
6,2,2,3,3,3
6,12,1,1,3,3
6,22,2,3,1,3
6,32,3,3,3,3
6,42,3,2,1,3
6,52,1,2,1,3
6,62,2,1,1,3
6,72,2,2,1,3
6,82,2,1,3,1
6,92,3,3,2,3
6,102,3,1,2,1
6,112,3,3,2,3
6,122,3,3,3,3
6,132,3,3,2,3
6,142,2,3,3,3
6,152,3,3,2,3
6,162,3,3,2,3
6,172,3,3,3,3
6,182,2,2,3,3
6,192,1,1,1,3
6,202,3,2,2,3
6,212,3,3,3,3
6,222,3,3,3,3
6,232,1,1,1,2
6,242,2,2,1,1
6,252,3,2,3,3
6,262,3,3,3,3
6,272,3,1,3,3
6,282,2,1,2,3
6,292,2,2,2,3
6,302,3,3,2,3
6,312,1,1,2,2
6,322,3,2,3,3
6,332,2,1,2,3
6,342,3,3,2,3
6,352,3,3,3,3
6,362,3,3,3,3
6,372,3,3,3,3
6,382,3,3,3,3
